base_1,43.118967237	,131.889649040	,114.216
2702,43.026926033	,131.897746921	,35.375
2703,43.026928602	,131.897742179	,35.331
2704,43.026927576	,131.897737670	,35.332
2705,43.026924398	,131.897739703	,35.359
2706,43.027024322	,131.897594802	,35.043
2707,43.027067247	,131.897573256	,34.914
2708,43.027221645	,131.897599724	,34.487
2709,43.027241344	,131.897630747	,34.546
2710,43.027257594	,131.897700583	,34.492
2711,43.027238653	,131.897701349	,34.457
2712,43.027188568	,131.897707897	,34.569
2713,43.027191485	,131.897689301	,34.557
2714,43.027212063	,131.897670469	,34.551
2715,43.027243626	,131.898652245	,34.218
2716,43.027252460	,131.898614766	,34.668
2717,43.027232093	,131.898595572	,34.986
2718,43.027210924	,131.898613972	,35.196
2719,43.027212943	,131.898641099	,35.245
2720,43.027687146	,131.898889153	,33.166
2721,43.027689402	,131.898931606	,33.216
2722,43.027705732	,131.898907588	,33.104
2723,43.027721106	,131.898884184	,32.737
2724,43.027726226	,131.898929823	,32.926
2725,43.027769749	,131.899157884	,32.131
2726,43.027817855	,131.899134163	,32.107
2727,43.027899823	,131.899169020	,31.092
2728,43.027903779	,131.899215943	,31.065
2729,43.027906086	,131.899557460	,30.800
2730,43.028140182	,131.899451869	,30.304
2731,43.028136955	,131.899381011	,30.166
2732,43.028147975	,131.899335487	,30.097
2733,43.028133120	,131.899327486	,30.152
2734,43.028146041	,131.899315209	,30.103
2735,43.028102248	,131.898987860	,29.994
2736,43.028112678	,131.898969955	,30.010
2737,43.028100411	,131.898956890	,29.879
2738,43.028096291	,131.898893456	,29.869
2739,43.028293215	,131.898847880	,29.840
2740,43.028452788	,131.898803875	,29.928
2741,43.028330831	,131.898833130	,29.844
2742,43.028363033	,131.898886153	,29.805
2743,43.028414855	,131.898876807	,29.863
2744,43.028481160	,131.898951450	,29.723
2745,43.028467900	,131.898957823	,29.717
2746,43.028436982	,131.898992217	,29.781
2747,43.028403048	,131.899060373	,30.214
2748,43.028395242	,131.899071257	,29.704
2749,43.028393305	,131.899063524	,29.678
2750,43.028348058	,131.899156796	,29.831
2751,43.028343192	,131.899164449	,29.907
2752,43.028372906	,131.899203462	,29.764
2753,43.028375413	,131.899191096	,29.719
2754,43.028404265	,131.899143739	,29.757
2755,43.028436587	,131.899090743	,29.711
2756,43.028445920	,131.899112654	,29.772
2757,43.028489641	,131.899141892	,29.723
2758,43.028568862	,131.899310361	,29.633
2759,43.028534290	,131.899312460	,29.614
2760,43.028536482	,131.899322667	,29.591
2761,43.028515900	,131.899323337	,29.608
2762,43.028502376	,131.899320381	,29.619
2763,43.028474555	,131.899326113	,29.605
2764,43.028469766	,131.899333221	,29.656
2765,43.028444887	,131.899331910	,29.687
2766,43.028403175	,131.899369927	,29.696
2767,43.028362466	,131.899377163	,29.824
2768,43.028886260	,131.898879688	,30.121
2769,43.028838329	,131.898738023	,29.783
2770,43.028828405	,131.898706248	,29.795
2771,43.028833992	,131.898695169	,29.842
2772,43.028822798	,131.898627488	,29.874
2773,43.028826932	,131.898618719	,29.899
2774,43.028882440	,131.898612981	,29.970
2775,43.028894694	,131.898551839	,30.083
2776,43.028917374	,131.898467668	,30.030
2777,43.028956249	,131.898411224	,29.988
2778,43.028879744	,131.898312819	,30.028
2779,43.028904914	,131.898217110	,29.842
2780,43.028911393	,131.898192628	,29.825
2781,43.029089763	,131.897785062	,29.939
2782,43.029019715	,131.898143342	,30.142
2783,43.029155574	,131.897689083	,29.585
base_4,43.118967249	,131.889649029	,114.219
2784,43.027291506	,131.898257748	,34.445
2785,43.027285243	,131.898258993	,34.245
2786,43.027080553	,131.898265665	,34.735
2787,43.027071888	,131.898340562	,35.454
2788,43.027105192	,131.898352997	,35.207
2789,43.027075851	,131.898393117	,35.482
2790,43.027143675	,131.898428462	,34.330
2791,43.027117306	,131.898470308	,34.545
2792,43.027161315	,131.898494264	,34.278
2793,43.027160153	,131.898496414	,34.419
2794,43.027134181	,131.898520326	,34.312
2795,43.027132149	,131.898518394	,34.338
2796,43.027129817	,131.898518232	,34.334
2797,43.027098036	,131.898513948	,34.522
2798,43.027090694	,131.898510928	,34.565
2799,43.027080283	,131.898468133	,35.209
2800,43.027017817	,131.898461121	,34.984
2801,43.026966651	,131.898439143	,35.163
2802,43.026967618	,131.898234643	,35.232
2803,43.026774639	,131.898349642	,36.565
2804,43.026707329	,131.898391564	,37.030
2805,43.026637789	,131.898366418	,37.635
2806,43.026596761	,131.898431880	,37.833
2807,43.026490373	,131.898498894	,38.807
2808,43.026519761	,131.898440688	,39.160
2809,43.026628289	,131.898109910	,37.583
2810,43.026656351	,131.898087008	,37.532
2811,43.026749981	,131.898095375	,36.646
2812,43.026732535	,131.898070418	,36.856
2813,43.026766548	,131.898014386	,36.019
2814,43.027360578	,131.898413571	,33.235
2815,43.027371838	,131.898408299	,32.923
2816,43.027372674	,131.898389976	,32.961
2817,43.027364132	,131.898393764	,33.188
2818,43.027367183	,131.898375878	,33.172
2819,43.027407081	,131.898288245	,32.850
2820,43.027416965	,131.898271087	,32.995
2821,43.027416452	,131.898255553	,33.208
2822,43.027458334	,131.898144901	,32.930
2823,43.027559618	,131.897763866	,33.562
2824,43.027640696	,131.897761649	,33.308
2825,43.027658647	,131.897816306	,32.757
2826,43.027671619	,131.897802036	,33.071
2827,43.027690839	,131.897800236	,32.799
2828,43.027681534	,131.897751342	,33.187
2829,43.028030620	,131.897809030	,32.283
2830,43.028040763	,131.897753096	,32.295
2831,43.028132211	,131.897754305	,31.784
2832,43.028147760	,131.897722959	,31.747
2833,43.028318188	,131.897794356	,30.475
2834,43.028420265	,131.897797227	,31.059
2835,43.028433549	,131.897807022	,31.205
2836,43.028478322	,131.897824709	,31.217
2837,43.028513877	,131.897890707	,30.422
2838,43.028563058	,131.897895172	,29.677
2839,43.028704679	,131.897759752	,29.935
2840,43.028711789	,131.897740873	,30.092
2841,43.028786289	,131.897701369	,30.258
2842,43.028868494	,131.897977101	,29.399
2843,43.028816856	,131.898021724	,29.558
2844,43.028694183	,131.897962882	,29.714
2845,43.028613548	,131.897940859	,29.990
2846,43.028423269	,131.897937432	,30.594
2847,43.028338971	,131.897914043	,30.333
2848,43.028291818	,131.897895442	,30.967
2849,43.028173581	,131.897854039	,31.525
2850,43.028153574	,131.897857412	,31.663
2851,43.028138896	,131.897866005	,31.666
2852,43.028132630	,131.897875629	,31.711
2853,43.028149329	,131.897882354	,31.687
2854,43.028008581	,131.897894058	,32.279
2855,43.027992796	,131.897905968	,32.361
2856,43.027965410	,131.897906668	,32.281
2857,43.027962610	,131.897905803	,32.325
2858,43.027964713	,131.897916263	,32.532
2859,43.027944218	,131.897911248	,32.477
2860,43.027929004	,131.897913275	,32.680
2861,43.027934351	,131.897904340	,32.216
2862,43.027918900	,131.897904955	,32.338
2863,43.027900813	,131.897934328	,32.883
2864,43.027882135	,131.898001689	,32.898
2865,43.027869099	,131.898054882	,32.804
2866,43.027907491	,131.898142834	,32.343
2867,43.027839694	,131.898141461	,32.974
2868,43.027811285	,131.898195329	,33.173
2869,43.027850914	,131.898209670	,32.784
2870,43.027868011	,131.898184713	,32.686
2871,43.027857830	,131.898217975	,32.875
2872,43.027809269	,131.898290148	,33.426
2873,43.027820667	,131.898340998	,32.557
2874,43.027775516	,131.898310603	,33.102
2875,43.027784889	,131.898354010	,32.981
2876,43.027834831	,131.898421951	,32.295
2877,43.027784825	,131.898422237	,32.800
2878,43.027752290	,131.898360729	,33.018
2879,43.027715215	,131.898380290	,32.537
2880,43.027695233	,131.898430536	,32.624
2881,43.027734442	,131.898455227	,32.939
2882,43.027813185	,131.898494522	,32.560
2883,43.027797429	,131.898572382	,32.290
2884,43.027762632	,131.898551016	,32.706
2885,43.027744840	,131.898533554	,33.004
2886,43.027707870	,131.898548521	,33.137
2887,43.027735991	,131.898585111	,32.947
2888,43.027782733	,131.898640036	,32.422
2889,43.027732970	,131.898641365	,32.681
2890,43.027762123	,131.898707311	,32.222
2891,43.027736116	,131.898687494	,32.593
2892,43.027711484	,131.898604894	,32.800
2893,43.027686455	,131.898586605	,32.978
2894,43.027681540	,131.898580664	,32.975
2895,43.027666629	,131.898569651	,32.706
2896,43.027656003	,131.898555503	,32.281
2897,43.027658011	,131.898588527	,32.634
2898,43.027645955	,131.898624337	,32.689
2899,43.027618392	,131.898660197	,32.714
2900,43.027634405	,131.898696544	,33.152
2901,43.027614125	,131.898700916	,32.945
2902,43.027587074	,131.898696546	,33.097
2903,43.027581344	,131.898694994	,32.999
2904,43.027526929	,131.898689557	,33.134
2905,43.027536932	,131.898721759	,33.407
2906,43.027531798	,131.898724017	,33.572
2907,43.027534367	,131.898727156	,33.471
2908,43.027494252	,131.898724541	,33.497
2909,43.027493999	,131.898721953	,33.573
2910,43.027604273	,131.898738151	,32.971
2911,43.027620466	,131.898745154	,32.984
2912,43.027623097	,131.898751583	,32.923
2913,43.027643600	,131.898791505	,32.801
2914,43.027648922	,131.898739341	,32.953
2915,43.027690944	,131.898774420	,32.423
2916,43.027683330	,131.898745030	,32.675
2917,43.027689810	,131.898709898	,32.831
2918,43.027687347	,131.898715622	,32.683
2919,43.027707093	,131.898715680	,32.783
2920,43.027716256	,131.898713259	,32.566
2921,43.027726887	,131.898693033	,32.557
2922,43.027414016	,131.898636936	,32.960
2923,43.027414301	,131.898638528	,33.015
2924,43.027395221	,131.898614992	,33.106
2925,43.027372489	,131.898556667	,33.245
2926,43.027423266	,131.898809965	,33.775
2927,43.027474544	,131.898844343	,33.729
2928,43.027543158	,131.898883177	,32.925
2929,43.027584490	,131.898913476	,32.562
2930,43.027609275	,131.898957606	,32.290
2931,43.027626943	,131.899006114	,32.098
2932,43.027506492	,131.898908007	,33.214
2933,43.027465178	,131.898937556	,33.309
2934,43.027434710	,131.898937786	,33.734
2935,43.027429312	,131.898944746	,33.342
2936,43.027472341	,131.899016043	,33.081
2937,43.027438608	,131.899081636	,33.214
2938,43.027412078	,131.899138068	,33.352
2939,43.027385483	,131.899166708	,33.341
2940,43.027381699	,131.899167312	,33.437
2941,43.027391056	,131.899217835	,33.230
2942,43.027360844	,131.899213620	,33.380
2943,43.027356499	,131.899212466	,33.306
2944,43.027309830	,131.899180309	,32.678
2945,43.027302982	,131.899203393	,32.680
2946,43.027301821	,131.899210371	,32.806
2947,43.027292977	,131.899215207	,32.821
2948,43.027340427	,131.899363634	,32.631
2949,43.027253262	,131.899438746	,33.920
2950,43.027211136	,131.899493657	,33.624
2951,43.027168902	,131.899536425	,34.212
2952,43.027058716	,131.899591029	,34.506
2953,43.026973430	,131.899932001	,34.673
2954,43.026954984	,131.899930525	,34.140
2955,43.026935728	,131.899976166	,34.604
2956,43.026949628	,131.899980898	,34.855
2957,43.026870382	,131.900018199	,34.633
2958,43.026817702	,131.900027908	,35.434
2959,43.026822379	,131.899962162	,36.136
2960,43.026892877	,131.899893396	,34.556
2961,43.026900288	,131.899840527	,34.237
2962,43.026891373	,131.899751269	,34.906
2963,43.026824499	,131.899744107	,35.462
2964,43.026782447	,131.899747906	,35.561
2965,43.026779690	,131.899749742	,35.431
2966,43.026748720	,131.899722989	,35.633
2967,43.026810435	,131.899696476	,35.479
2968,43.026827362	,131.899709309	,35.313
2969,43.026930842	,131.899678259	,34.745
2970,43.026945188	,131.899687829	,34.347
2971,43.026962070	,131.899641786	,34.008
2972,43.026979617	,131.899579189	,34.583
2973,43.026989359	,131.899506071	,33.901
2974,43.026977419	,131.899495049	,34.276
2975,43.027034278	,131.899264753	,34.786
2976,43.027149745	,131.899191457	,33.925
2977,43.027161568	,131.899110224	,34.101
2978,43.027275087	,131.898931883	,33.377
2979,43.027259329	,131.898896639	,33.390
2980,43.027269739	,131.898786372	,33.848
2981,43.027286292	,131.898767787	,33.742
2982,43.027317451	,131.898708864	,33.509
2983,43.027316649	,131.898693766	,33.644
2984,43.027356211	,131.898718804	,33.566
2985,43.027671810	,131.899404561	,30.897
2986,43.027638574	,131.899420695	,31.129
2987,43.027629424	,131.899448946	,31.192
2988,43.027674943	,131.899474512	,30.975
2989,43.027680829	,131.899504727	,30.997
2990,43.027684594	,131.899540611	,30.974
2991,43.027694374	,131.899611627	,30.993
2992,43.027497843	,131.899360445	,31.776
2993,43.027426202	,131.899391100	,32.087
2994,43.027244011	,131.899592417	,32.792
2995,43.027220644	,131.899613944	,33.131
2996,43.027229521	,131.899664929	,32.443
2997,43.027216598	,131.899664763	,32.950
2998,43.027223011	,131.899685706	,32.645
2999,43.027212166	,131.899679447	,33.166
3000,43.027222074	,131.899714518	,32.354
3001,43.027182556	,131.899712889	,33.932
3002,43.027150174	,131.899688110	,34.234
3003,43.027097591	,131.900033130	,34.825
3004,43.027067694	,131.900071538	,35.219
3005,43.027070330	,131.900075640	,35.199
3006,43.027065369	,131.900078951	,35.194
3007,43.027058836	,131.900080970	,34.956
3008,43.026945028	,131.900105824	,35.213
3009,43.027055239	,131.900191633	,35.207
3010,43.027143153	,131.900165090	,34.093
3011,43.027152532	,131.900212745	,33.953
3012,43.027193659	,131.900217463	,32.727
3013,43.027200771	,131.900261169	,32.437
3014,43.027060296	,131.900239895	,34.986
3015,43.027145325	,131.900413318	,34.836
3016,43.027147695	,131.900421556	,35.260
3017,43.027199771	,131.900530963	,35.023
3018,43.027197414	,131.900571935	,35.206
3019,43.027201541	,131.900616365	,35.423
3020,43.027207915	,131.900837045	,35.992
3021,43.027241011	,131.900998274	,36.313
3022,43.027244761	,131.901016105	,36.189
3023,43.027257988	,131.901043294	,36.795
3024,43.027285496	,131.901095266	,37.524
3025,43.027281787	,131.901104634	,37.621
3026,43.027288796	,131.901151474	,37.720
3027,43.027309027	,131.901238325	,38.269
3028,43.027319963	,131.901204724	,37.892
3029,43.027369831	,131.901236594	,37.873
3030,43.027373491	,131.901225595	,37.616
3031,43.027377221	,131.901226404	,37.467
3032,43.027388621	,131.901112575	,36.442
3033,43.027394749	,131.901104977	,36.396
3034,43.027385195	,131.901028516	,36.324
3035,43.027388655	,131.901032048	,36.439
3036,43.027463135	,131.901093378	,35.986
3037,43.027498070	,131.901040533	,35.436
3038,43.027555413	,131.900998420	,34.774
3039,43.027525731	,131.900878070	,33.120
3040,43.027517755	,131.900884102	,33.098
3041,43.027516612	,131.900865252	,32.699
3042,43.027506559	,131.900846452	,32.268
3043,43.027490156	,131.900885013	,33.390
3044,43.027487510	,131.900885832	,33.393
3045,43.027485205	,131.900933981	,34.678
3046,43.027453143	,131.900953917	,35.134
3047,43.027439739	,131.900917095	,34.638
3048,43.027439088	,131.900882194	,33.540
3049,43.027442634	,131.900845572	,32.475
3050,43.027440220	,131.900850354	,32.463
3051,43.027424392	,131.900899418	,34.175
3052,43.027414318	,131.900909465	,34.667
3053,43.027392304	,131.900854570	,32.986
3054,43.027362456	,131.900874282	,34.025
3055,43.027312126	,131.900883403	,35.233
3056,43.027300126	,131.900999731	,36.870
3057,43.027322692	,131.901043936	,36.881
3058,43.027235106	,131.901163917	,38.504
3059,43.027230947	,131.901143548	,38.459
3060,43.027231369	,131.901136448	,38.538
3061,43.027241437	,131.901120429	,37.624
3062,43.027241995	,131.901109181	,37.093
3063,43.027228632	,131.901084767	,36.841
3064,43.027187180	,131.901033964	,37.779
3065,43.027194188	,131.901029587	,37.409
3066,43.027211205	,131.900996318	,36.008
3067,43.027204193	,131.900991867	,36.312
3068,43.027210181	,131.900972512	,35.984
3069,43.027208400	,131.900957529	,35.704
3070,43.027203258	,131.900948717	,36.000
3071,43.027191534	,131.900930680	,36.126
3072,43.027202964	,131.900928743	,35.772
3073,43.027197288	,131.900916056	,35.824
3074,43.027189865	,131.900911963	,35.858
3075,43.027194306	,131.900900828	,35.910
3076,43.027188854	,131.900899293	,35.893
3077,43.027182488	,131.900895585	,35.926
3078,43.027184390	,131.900863288	,35.739
3079,43.027181358	,131.900851708	,35.808
3080,43.027181210	,131.900836338	,35.568
3081,43.027178677	,131.900825552	,35.560
3082,43.027170236	,131.900826490	,35.841
3083,43.027166461	,131.900811231	,35.931
3084,43.027169027	,131.900787826	,35.575
3085,43.027152736	,131.900754146	,35.975
3086,43.027146035	,131.900723241	,35.821
3087,43.027144152	,131.900727293	,35.868
3088,43.027122008	,131.900668152	,36.508
3089,43.027108676	,131.900548746	,35.893
3090,43.027085848	,131.900572044	,36.243
3091,43.027084240	,131.900583092	,36.373
3092,43.027076853	,131.900579066	,36.338
3093,43.027052117	,131.900436671	,35.461
3094,43.026985831	,131.900339335	,35.130
3095,43.026948130	,131.900228862	,35.420
3096,43.026899586	,131.900119302	,35.537
3097,43.026884629	,131.900350137	,36.887
3098,43.026972746	,131.900485292	,36.967
3099,43.026975968	,131.900488767	,36.941
3100,43.027024090	,131.900485913	,36.262
3101,43.027037327	,131.900570152	,36.704
3102,43.027044843	,131.900570628	,36.520
3103,43.027038992	,131.900562408	,36.670
3104,43.027088852	,131.900711867	,37.032
3105,43.027040742	,131.900710398	,37.402
3106,43.027066384	,131.900822017	,37.711
3107,43.028055215	,131.900607767	,30.370
3108,43.028133456	,131.900629035	,30.360
3109,43.028242017	,131.900612725	,30.320
3110,43.028290790	,131.900600993	,30.188
3111,43.028338561	,131.900874065	,30.084
3112,43.028383561	,131.900563691	,29.847
3113,43.028382663	,131.900505823	,29.865
3114,43.028382087	,131.900411145	,29.905
3115,43.028384468	,131.900358548	,29.826
3116,43.028390445	,131.900304215	,29.765
3117,43.028409547	,131.900151414	,29.682
3118,43.028417956	,131.900053205	,29.531
3119,43.028428079	,131.900008838	,29.568
3120,43.028440858	,131.899965574	,29.495
3121,43.028427328	,131.899815440	,29.484
3122,43.028395819	,131.899823164	,29.413
3123,43.028361841	,131.899831572	,29.412
3124,43.028328307	,131.899834461	,29.498
3125,43.028305484	,131.899841610	,29.617
3126,43.028618943	,131.899651286	,29.665
3127,43.028644505	,131.899658247	,29.577
3128,43.028658046	,131.899541442	,29.480
3129,43.028748876	,131.899599000	,29.207
3130,43.028842698	,131.899577799	,29.204
3131,43.028630219	,131.899973065	,29.335
3132,43.028626914	,131.900037681	,29.598
3133,43.028553245	,131.899997449	,29.881
3134,43.028531836	,131.900026818	,29.924
3135,43.028516495	,131.900085435	,30.357
3136,43.028503676	,131.900146291	,30.154
3137,43.028502526	,131.900185236	,29.516
3138,43.028495688	,131.900228354	,29.532
3139,43.028490471	,131.900290598	,29.621
3140,43.028483005	,131.900351772	,29.591
3141,43.028479190	,131.900414983	,29.860
3142,43.028482850	,131.900475190	,29.712
3143,43.028472896	,131.900544238	,29.651
3144,43.028481056	,131.900558293	,29.651
3145,43.028481485	,131.900595652	,29.578
3146,43.028470337	,131.900607189	,29.712
3147,43.028464351	,131.900670726	,29.896
3148,43.028461718	,131.900732639	,29.971
3149,43.028460595	,131.900796059	,29.980
3150,43.028456230	,131.900861585	,30.147
3151,43.028474417	,131.900896235	,29.932
3152,43.028453975	,131.900923636	,30.208
3153,43.028503011	,131.900932167	,29.865
3154,43.028550291	,131.900934897	,29.813
3155,43.028596974	,131.900942384	,29.861
3156,43.028635323	,131.900952733	,29.716
3157,43.028674803	,131.900962889	,29.730
3158,43.028709795	,131.900976852	,29.566
3159,43.028693232	,131.900920360	,29.587
3160,43.028672503	,131.900866511	,29.613
3161,43.028620461	,131.900651185	,29.639
3162,43.028598147	,131.900642077	,29.618
3163,43.028613177	,131.900592567	,29.627
3164,43.028572125	,131.900685485	,30.102
3165,43.028530480	,131.900694755	,30.071
3166,43.028694601	,131.900534256	,29.494
3167,43.028724010	,131.900494702	,29.407
3168,43.028693146	,131.900455559	,29.535
3169,43.028608879	,131.900531820	,29.662
3170,43.028583914	,131.900491898	,30.170
3171,43.028604299	,131.900469410	,29.587
3172,43.028599912	,131.900409179	,29.659
3173,43.028602220	,131.900348166	,29.575
3174,43.028715452	,131.900366359	,30.119
3175,43.028699236	,131.900323371	,30.437
3176,43.028604566	,131.900285939	,29.963
3177,43.028611766	,131.900223969	,29.546
3178,43.028613798	,131.900157607	,29.720
3179,43.028618666	,131.900099160	,29.777
3180,43.028712709	,131.900024121	,29.582
3181,43.028719300	,131.900058853	,29.399
3182,43.028753262	,131.900030621	,29.508
3183,43.028781156	,131.900151723	,30.034
3184,43.028686959	,131.901064524	,30.181
3185,43.028726446	,131.901086203	,29.675
base_5,42.915821228	,132.499830277	,57.121
3186,43.028711198	,131.901179372	,30.129
3187,43.028778090	,131.901101892	,29.458
3188,43.028815734	,131.901137147	,29.217
base_6,42.860652105	,131.387822612	,57.634
3189,43.028852503	,131.901174730	,29.178
3190,43.028884736	,131.901211898	,29.188
3191,43.028837153	,131.901234998	,29.049
3192,43.028856430	,131.901306060	,28.261
3193,43.028884459	,131.901214623	,28.628
3194,43.028916419	,131.901257456	,28.780
3195,43.028952593	,131.901299022	,28.718
3196,43.028982526	,131.901341514	,28.654
3197,43.029007999	,131.901395788	,28.478
3198,43.029033166	,131.901444988	,28.470
3199,43.029052721	,131.901498990	,28.397
3200,43.028997517	,131.901521170	,29.702
3201,43.029088028	,131.901582554	,29.350
3202,43.029107882	,131.901634112	,29.405
3203,43.029133149	,131.901686065	,29.387
3204,43.029158420	,131.901737801	,29.400
3205,43.029183286	,131.901789735	,29.345
3206,43.029209652	,131.901838645	,29.364
3207,43.029199068	,131.901921832	,29.485
3208,43.029258545	,131.902185814	,30.054
3209,43.029241674	,131.902274542	,31.737
3210,43.029127330	,131.902081720	,29.615
3211,43.029152628	,131.901916847	,29.631
3212,43.029106049	,131.901926373	,29.751
3213,43.029062873	,131.901938061	,29.851
3214,43.029017302	,131.901957540	,29.933
3215,43.029015229	,131.901999420	,29.758
3216,43.028971586	,131.901973727	,30.035
3217,43.028923741	,131.901982827	,30.174
3218,43.028879812	,131.901989297	,30.205
3219,43.028809683	,131.902072249	,30.921
3220,43.028788137	,131.902055417	,30.947
3221,43.028752932	,131.902031867	,30.988
3222,43.028634953	,131.901925082	,30.951
3223,43.028644247	,131.901872613	,30.357
3224,43.028543504	,131.901754576	,30.398
3225,43.028488877	,131.901449898	,30.386
3226,43.028512587	,131.901498246	,30.380
3227,43.028561401	,131.901586085	,30.405
3228,43.028585724	,131.901643292	,30.282
3229,43.028617483	,131.901686685	,30.241
3230,43.028647630	,131.901735932	,30.397
3231,43.028677082	,131.901732035	,30.344
3232,43.028685601	,131.901781287	,30.368
3233,43.028721508	,131.901810932	,30.415
3234,43.028765117	,131.901837869	,30.389
3235,43.028869023	,131.901890551	,30.246
3236,43.028961008	,131.901887212	,30.019
3237,43.029071770	,131.901851198	,29.757
3238,43.029119750	,131.901839282	,29.512
3239,43.029057985	,131.901780169	,29.717
3240,43.029055566	,131.901688809	,29.633
3241,43.028968159	,131.901717776	,30.065
3242,43.028825018	,131.901470500	,30.468
3243,43.028798553	,131.901525047	,30.611
3244,43.028819396	,131.901570153	,30.343
3245,43.028816084	,131.901715004	,30.632
3246,43.028741738	,131.901722509	,30.587
3247,43.028694841	,131.901571635	,30.377
3248,43.028329029	,131.901938896	,33.451
3249,43.028274346	,131.902129350	,35.912
3250,43.028271160	,131.902127696	,35.963
3251,43.028261563	,131.902227067	,38.159
3252,43.028259581	,131.902261491	,38.756
3253,43.028263530	,131.902297660	,39.509
3254,43.028276859	,131.902267933	,38.695
3255,43.028282462	,131.902259738	,38.580
3256,43.028282871	,131.902251968	,38.504
3257,43.028290898	,131.902245756	,38.312
3258,43.028291898	,131.902241978	,38.109
3259,43.028301147	,131.902234633	,37.896
3260,43.028295763	,131.902220942	,37.792
3261,43.028322760	,131.902204443	,37.242
3262,43.028341842	,131.902227859	,37.672
3263,43.028321120	,131.902178083	,37.439
3264,43.028320672	,131.902168073	,37.551
3265,43.028328798	,131.902135033	,36.355
3266,43.028338168	,131.902085470	,35.028
3267,43.028309469	,131.902095548	,35.553
3268,43.028335384	,131.902056023	,34.925
3269,43.028348654	,131.902049014	,34.841
3270,43.028340020	,131.902046533	,34.750
3271,43.028387033	,131.902180444	,36.340
3272,43.028394821	,131.902168207	,35.939
3273,43.028439039	,131.902190495	,36.366
3274,43.028472012	,131.902124917	,34.940
3275,43.028474263	,131.902113608	,34.803
3276,43.028478203	,131.902123790	,34.855
3277,43.028505824	,131.902160892	,35.158
3278,43.028528729	,131.902166748	,35.051
3279,43.028529602	,131.902184228	,35.986
3280,43.028516712	,131.902107052	,34.327
3281,43.028522585	,131.902124146	,34.436
3282,43.028544677	,131.902143204	,34.546
3283,43.028557031	,131.902145438	,34.616
3284,43.028598577	,131.902160813	,34.271
3285,43.028601172	,131.902179931	,34.463
3286,43.028696549	,131.902164236	,33.672
3287,43.028585013	,131.902095881	,33.463
3288,43.028576421	,131.902097873	,33.675
3289,43.028565268	,131.902070469	,33.189
3290,43.028566648	,131.902064518	,32.905
3291,43.028592358	,131.902046854	,33.297
3292,43.028567204	,131.902028800	,32.860
3293,43.028542128	,131.902016362	,32.706
3294,43.028477400	,131.901902166	,32.168
3295,43.028141545	,131.900879154	,30.210
3296,43.028145040	,131.900947191	,31.023
3297,43.028172724	,131.901114547	,30.485
3298,43.028097635	,131.901134422	,31.179
3299,43.028005815	,131.900906436	,30.867
3300,43.027993656	,131.900921129	,31.134
3301,43.027949850	,131.900884366	,31.075
3302,43.027936323	,131.900875343	,30.860
3303,43.027937491	,131.900881179	,30.841
3304,43.027927184	,131.900903798	,30.857
3305,43.027922992	,131.900965479	,31.527
3306,43.027747612	,131.900931752	,32.656
3307,43.027742129	,131.900978183	,32.987
3308,43.027943349	,131.901115661	,32.423
3309,43.028008581	,131.901489529	,34.324
3310,43.028049736	,131.901447488	,33.588
3311,43.028111040	,131.901524325	,33.235
3312,43.028148002	,131.901683791	,33.854
3313,43.028162632	,131.901681733	,33.711
3314,43.028177266	,131.901678894	,33.363
3315,43.028218834	,131.901701666	,33.833
3316,43.028198939	,131.901741201	,33.965
3317,43.028199798	,131.901712432	,33.646
3318,43.028204790	,131.901754994	,33.875
3319,43.028188818	,131.901742975	,33.848
3320,43.028172772	,131.901713510	,33.313
3321,43.028165993	,131.901893563	,35.726
3322,43.028137463	,131.901980022	,36.564
3323,43.028139814	,131.901983732	,36.575
3324,43.028098914	,131.902147642	,38.522
3325,43.028063195	,131.902314325	,40.736
3326,43.028053276	,131.902233633	,39.721
3327,43.028045445	,131.902156930	,39.071
3328,43.027923148	,131.901949744	,38.155
3329,43.027886015	,131.901780697	,37.209
3330,43.027935753	,131.901722128	,36.378
3331,43.027863651	,131.901715428	,36.853
3332,43.027838012	,131.901640360	,36.466
3333,43.027922568	,131.901495300	,35.035
3334,43.027918719	,131.901487269	,35.187
3335,43.027912958	,131.901242693	,33.440
3336,43.027879984	,131.901192918	,33.367
3337,43.027861660	,131.901211574	,33.584
3338,43.027797117	,131.901203490	,33.997
3339,43.027792353	,131.901284743	,34.442
3340,43.027814377	,131.901394361	,34.905
3341,43.027822707	,131.901555543	,36.098
3342,43.027757380	,131.901549087	,36.423
3343,43.027750929	,131.901540380	,36.581
3344,43.027740967	,131.901612227	,36.954
3345,43.027737601	,131.901621859	,37.087
3346,43.027630687	,131.901656754	,38.210
3347,43.027627111	,131.901645125	,38.079
3348,43.027665551	,131.901557533	,37.141
3349,43.027602368	,131.901535202	,37.339
3350,43.027536005	,131.901597252	,38.411
3351,43.027485853	,131.901410529	,37.620
3352,43.027443996	,131.901397333	,37.863
3353,43.027510982	,131.901179461	,36.118
3354,43.027574055	,131.901112494	,35.177
3355,43.027573742	,131.901079417	,35.058
3356,43.027604004	,131.901076887	,34.737
3357,43.027600979	,131.901159037	,35.198
3358,43.027673093	,131.901183932	,34.723
3359,43.027686834	,131.901185574	,34.728
3360,43.027686504	,131.901171876	,34.531
3361,43.027677563	,131.901249092	,34.990
3362,43.027569683	,131.901265807	,35.957
3363,43.027580768	,131.901350322	,36.304
