base_1,43.118967237	,131.889649040	,114.216
510,43.025995567	,131.896981233	,40.768
511,43.026012902	,131.896933539	,40.660
512,43.026014126	,131.896926339	,40.488
513,43.025977164	,131.896865635	,40.274
514,43.026037458	,131.896842766	,39.395
515,43.026037678	,131.896898950	,40.029
516,43.026033494	,131.896905924	,40.139
517,43.026067392	,131.896994338	,39.830
518,43.026077266	,131.897137194	,40.037
519,43.026073323	,131.897136144	,40.146
520,43.026073561	,131.897139198	,40.242
521,43.026098136	,131.897148086	,39.926
522,43.026100608	,131.897125969	,39.934
523,43.026114473	,131.897064477	,39.836
524,43.026112628	,131.897067325	,39.746
525,43.026116922	,131.897061801	,39.552
526,43.026112611	,131.897060218	,39.629
527,43.026103968	,131.896994132	,39.664
528,43.026108592	,131.896932444	,39.448
529,43.026109798	,131.896934115	,39.375
530,43.026114363	,131.896934773	,39.202
531,43.026112652	,131.896925438	,39.253
532,43.026118889	,131.896900029	,38.872
533,43.026090759	,131.896872359	,39.013
534,43.026117805	,131.896875869	,38.672
535,43.026141057	,131.896862075	,38.044
536,43.026147513	,131.896869933	,38.012
537,43.026205677	,131.896905970	,37.865
538,43.026219622	,131.896972136	,38.163
539,43.026224542	,131.896976160	,38.258
540,43.026228927	,131.896975169	,38.374
541,43.026231734	,131.896974780	,38.231
542,43.026250422	,131.896982988	,37.963
543,43.026214162	,131.896992963	,38.333
544,43.026213865	,131.896998990	,38.344
545,43.026202858	,131.896992168	,38.259
546,43.026186550	,131.897028445	,38.402
547,43.026224993	,131.897045548	,38.363
548,43.026228666	,131.897037866	,38.300
549,43.026376001	,131.897226732	,38.184
550,43.026381483	,131.897227155	,38.144
551,43.026399923	,131.897106177	,38.658
552,43.026387807	,131.897090457	,38.737
553,43.026340740	,131.897050949	,38.624
554,43.026415352	,131.897036413	,38.649
555,43.026435435	,131.896996206	,38.642
556,43.026576805	,131.896964395	,35.476
557,43.026564737	,131.896947441	,35.475
558,43.026558042	,131.896898932	,35.051
559,43.026481319	,131.896969935	,37.564
560,43.026484701	,131.896958607	,37.104
561,43.026486067	,131.896920681	,36.070
562,43.026486690	,131.896928589	,36.231
563,43.026470593	,131.896928682	,36.662
564,43.026513099	,131.896862268	,34.970
565,43.026494381	,131.896853266	,35.022
566,43.026512936	,131.896823010	,34.700
567,43.026479742	,131.896833978	,35.054
568,43.026454429	,131.896760190	,34.563
569,43.026430281	,131.896758190	,34.783
570,43.026438588	,131.896702686	,34.339
571,43.026443125	,131.896697983	,34.248
572,43.026441917	,131.896695109	,34.302
573,43.026397818	,131.896708950	,33.972
574,43.026412463	,131.896662728	,33.046
575,43.026403666	,131.896663722	,33.696
576,43.026383219	,131.896688809	,34.825
577,43.026378396	,131.896684825	,34.667
578,43.026374096	,131.896642628	,34.182
579,43.026335355	,131.896563199	,35.097
580,43.026331482	,131.896565115	,34.958
581,43.026319791	,131.896552129	,35.402
582,43.026324854	,131.896537582	,35.573
583,43.026321799	,131.896533029	,35.265
584,43.026327008	,131.896510104	,35.234
585,43.026325557	,131.896506848	,35.308
586,43.026321995	,131.896512055	,35.234
587,43.026346558	,131.896490413	,35.085
588,43.026361514	,131.896462895	,34.988
589,43.026347012	,131.896438745	,34.927
590,43.026389766	,131.896410951	,34.933
591,43.026343321	,131.896411366	,35.305
592,43.026335864	,131.896413966	,35.145
593,43.026335527	,131.896409007	,35.049
594,43.026332506	,131.896408646	,35.074
595,43.026334771	,131.896398608	,35.200
596,43.026318422	,131.896461002	,34.946
597,43.026316810	,131.896458262	,35.363
598,43.026308164	,131.896435114	,35.075
599,43.026292565	,131.896422391	,35.402
600,43.026281846	,131.896517900	,36.134
601,43.026283512	,131.896520619	,36.489
602,43.026275979	,131.896578632	,36.441
603,43.026277929	,131.896581183	,36.466
604,43.026274514	,131.896593287	,36.612
605,43.026270016	,131.896590548	,36.721
606,43.026272367	,131.896591380	,36.877
607,43.026267376	,131.896592143	,36.769
608,43.026267785	,131.896595701	,36.770
609,43.026266453	,131.896597127	,36.591
610,43.026269954	,131.896600194	,36.686
611,43.026273573	,131.896598783	,36.505
612,43.026276459	,131.896607871	,36.319
613,43.026278211	,131.896633669	,35.676
614,43.026282311	,131.896635383	,35.577
615,43.026290940	,131.896667508	,35.526
616,43.026245443	,131.896650900	,35.967
617,43.026236378	,131.896640909	,36.263
618,43.026232109	,131.896638637	,36.808
619,43.026225346	,131.896642824	,36.513
620,43.026227179	,131.896648090	,36.348
621,43.026230109	,131.896648079	,36.248
622,43.026232047	,131.896648120	,36.244
623,43.026214379	,131.896662662	,36.088
624,43.026211070	,131.896666819	,36.075
625,43.026211525	,131.896671863	,35.902
626,43.026211139	,131.896684213	,35.720
627,43.026213820	,131.896644717	,36.368
628,43.026207134	,131.896648296	,36.410
629,43.026199198	,131.896644608	,36.588
630,43.026199506	,131.896641189	,36.620
631,43.026205147	,131.896624662	,36.651
632,43.026197299	,131.896623410	,37.028
633,43.026172456	,131.896619310	,37.440
634,43.026165852	,131.896613753	,37.714
635,43.026187217	,131.896599020	,37.657
636,43.026184428	,131.896593772	,37.748
637,43.026186623	,131.896587979	,37.765
638,43.026186746	,131.896586884	,37.682
639,43.026170828	,131.896572746	,37.846
640,43.026208036	,131.896558949	,37.607
641,43.026209433	,131.896559879	,37.646
642,43.026210655	,131.896563302	,37.536
643,43.026211388	,131.896564748	,37.559
644,43.026220282	,131.896570041	,37.494
645,43.026224010	,131.896593024	,37.203
646,43.026224370	,131.896605037	,37.013
647,43.026221600	,131.896623205	,36.619
648,43.026225336	,131.896618513	,36.919
649,43.026231873	,131.896616230	,36.914
650,43.026228259	,131.896562365	,37.409
651,43.026229480	,131.896551001	,37.410
652,43.026254487	,131.896527777	,36.815
653,43.026259181	,131.896527452	,36.639
654,43.026245123	,131.896516731	,36.889
655,43.026248250	,131.896515013	,36.740
656,43.026204249	,131.896519355	,37.645
657,43.026201363	,131.896519505	,38.046
658,43.026199222	,131.896519367	,37.829
659,43.026201472	,131.896512931	,37.876
660,43.026164053	,131.896481969	,38.155
661,43.026165995	,131.896487952	,38.075
662,43.026164670	,131.896492447	,38.495
663,43.026183112	,131.896536151	,37.999
664,43.026211687	,131.896551560	,37.597
665,43.026134233	,131.896587346	,38.258
666,43.026087438	,131.896641608	,37.421
667,43.026086016	,131.896632641	,37.767
668,43.026084677	,131.896632815	,37.707
669,43.026084105	,131.896636027	,38.065
670,43.026073001	,131.896600102	,38.716
671,43.026069373	,131.896595979	,38.913
672,43.026056943	,131.896589642	,38.989
673,43.026047036	,131.896583523	,39.226
674,43.026064087	,131.896558772	,39.264
675,43.026068683	,131.896554528	,39.437
676,43.026077653	,131.896494674	,39.160
677,43.026081169	,131.896486701	,39.222
678,43.026036309	,131.896555380	,39.567
679,43.026004688	,131.896581991	,39.692
680,43.026009092	,131.896584877	,39.715
681,43.026008678	,131.896587842	,39.405
682,43.026006894	,131.896590665	,39.679
683,43.026009162	,131.896605136	,39.115
684,43.025972454	,131.896563464	,40.334
685,43.025969018	,131.896583917	,39.952
686,43.025969890	,131.896590154	,39.859
687,43.025987910	,131.896509541	,40.048
688,43.025992123	,131.896454587	,39.923
689,43.025966321	,131.896476613	,40.198
690,43.025964801	,131.896479817	,40.358
691,43.025939609	,131.896503589	,40.433
692,43.025927824	,131.896515393	,40.430
693,43.025880656	,131.896551617	,41.295
